PRSUC,PRCOD,PRFEC,PRPROV,PRCANT,PRPRE
SUC01,P111,2025-04-18,PROV11,22,1422.04
SUC01,P111,2025-05-27,PROV03,45,1535.86
SUC01,P111,2025-06-05,PROV11,36,1451.78
SUC01,P111,2025-06-14,PROV03,23,1487.49
SUC01,P111,2025-06-19,PROV05,41,1459.07
SUC01,P111,2025-06-23,PROV11,12,1445.17
SUC01,P111,2025-06-30,PROV12,51,256.97
SUC01,P111,2025-07-10,PROV11,22,1526.8
SUC01,P111,2025-07-13,PROV12,20,1546.81
SUC01,P111,2025-09-12,PROV09,10,1592.41
SUC01,P111,2025-09-13,PROV06,30,1482.8
SUC01,P111,2025-09-18,PROV10,33,1456.15
SUC01,P111,2025-10-17,PROV01,54,1532.66
SUC01,P111,2025-10-29,PROV11,28,1494.28
SUC01,P111,2025-11-11,PROV03,24,1555.98
SUC01,P111,2025-11-13,PROV09,43,252.62
SUC01,P111,2025-11-26,PROV02,72,250.52
SUC01,P111,2025-11-26,PROV04,21,1586.77
SUC01,P111,2025-12-08,PROV06,35,1561.73
SUC01,P111,2025-12-09,PROV03,23,1549.44
SUC01,P111,2025-12-13,PROV05,53,1520.17
SUC01,P111,2025-12-28,PROV10,22,1563.11
SUC01,P111,2025-12-31,PROV13,7,1579.65
SUC01,P112,2025-01-03,PROV11,24,1501.03
SUC01,P112,2025-02-18,PROV03,30,1585.55
SUC01,P112,2025-02-26,PROV01,42,1481.13
SUC01,P112,2025-02-28,PROV07,12,1544.83
SUC01,P112,2025-03-09,PROV12,38,266.36
SUC01,P112,2025-03-26,PROV02,70,1605.29
SUC01,P112,2025-03-31,PROV06,22,1524.68
SUC01,P112,2025-04-22,PROV08,30,1602.67
SUC01,P112,2025-05-11,PROV04,20,1659.09
SUC01,P112,2025-06-09,PROV11,63,1564.3
SUC01,P112,2025-07-23,PROV09,10,1664.52
SUC01,P112,2025-08-12,PROV11,30,1627.46
SUC01,P112,2025-08-15,PROV01,8,1559.53
SUC01,P112,2025-08-19,PROV10,45,1551.0
SUC01,P112,2025-09-03,PROV10,55,1600.49
SUC01,P112,2025-10-12,PROV03,23,1647.71
SUC01,P112,2025-10-26,PROV10,56,1556.83
SUC01,P112,2025-10-26,PROV15,33,262.21
SUC01,P112,2025-10-29,PROV07,53,266.3
SUC01,P112,2025-11-16,PROV05,12,1588.72
SUC01,P112,2025-12-04,PROV12,31,1711.33
SUC01,P112,2025-12-05,PROV15,10,1591.24
SUC01,P112,2025-12-21,PROV03,68,1709.31
SUC01,P112,2025-12-21,PROV03,61,1747.85
SUC01,P112,2025-12-22,PROV01,35,1607.92
SUC01,P113,2025-01-08,PROV13,10,1666.85
SUC01,P113,2025-01-29,PROV14,12,1631.17
SUC01,P113,2025-02-16,PROV05,69,1587.1
SUC01,P113,2025-03-01,PROV04,43,1741.56
SUC01,P113,2025-03-04,PROV07,93,242.71
SUC01,P113,2025-05-13,PROV02,70,1671.27
SUC01,P113,2025-05-15,PROV07,55,1699.64
SUC01,P113,2025-06-27,PROV12,16,1652.54
SUC01,P113,2025-07-22,PROV04,33,1791.72
SUC01,P113,2025-08-01,PROV14,92,241.19
SUC01,P113,2025-08-12,PROV04,94,237.18
SUC01,P113,2025-08-12,PROV08,8,1698.36
SUC01,P113,2025-08-26,PROV11,15,1720.15
SUC01,P113,2025-08-27,PROV14,51,1737.84
SUC01,P113,2025-08-31,PROV07,20,1719.58
SUC01,P113,2025-10-09,PROV12,55,1713.2
SUC01,P113,2025-10-17,PROV06,57,245.78
SUC01,P113,2025-10-24,PROV11,57,1697.7
SUC01,P113,2025-11-12,PROV05,45,1729.6
SUC01,P113,2025-11-15,PROV15,45,1748.27
SUC01,P113,2025-11-24,PROV14,49,238.89
SUC01,P113,2025-12-08,PROV08,30,1757.14
SUC01,P113,2025-12-21,PROV09,54,1856.46
SUC01,P113,2025-12-24,PROV14,48,1787.6
SUC01,P113,2025-12-25,PROV09,58,1850.12
SUC01,P113,2025-12-29,PROV05,11,1746.17
SUC01,P114,2025-02-06,PROV02,41,1816.18
SUC01,P114,2025-02-20,PROV10,68,1731.59
SUC01,P114,2025-03-13,PROV08,37,1778.33
SUC01,P114,2025-03-13,PROV11,23,276.51
SUC01,P114,2025-03-14,PROV01,10,275.01
SUC01,P114,2025-03-20,PROV10,57,270.39
SUC01,P114,2025-04-21,PROV08,10,1800.73
SUC01,P114,2025-04-25,PROV05,40,1769.25
SUC01,P114,2025-04-25,PROV13,54,1827.65
SUC01,P114,2025-05-08,PROV08,35,1818.11
SUC01,P114,2025-05-21,PROV03,66,1819.58
SUC01,P114,2025-05-25,PROV06,15,1773.11
SUC01,P114,2025-07-19,PROV05,29,1798.01
SUC01,P114,2025-07-21,PROV06,37,1851.6
SUC01,P114,2025-07-28,PROV06,18,272.0
SUC01,P114,2025-09-12,PROV11,54,1891.81
SUC01,P114,2025-09-28,PROV02,38,1899.57
SUC01,P114,2025-10-01,PROV12,25,1912.8
SUC01,P114,2025-10-09,PROV10,47,1862.51
SUC01,P114,2025-10-18,PROV12,9,1937.59
SUC01,P114,2025-10-22,PROV05,17,1803.57
SUC01,P114,2025-11-20,PROV01,24,1920.64
SUC01,P114,2025-12-10,PROV08,60,2005.35
SUC01,P114,2025-12-18,PROV07,27,1874.4
SUC01,P115,2025-01-29,PROV12,23,1893.16
SUC01,P115,2025-03-04,PROV03,18,1951.78
SUC01,P115,2025-03-28,PROV01,67,1848.7
SUC01,P115,2025-04-24,PROV08,37,1876.84
SUC01,P115,2025-06-01,PROV05,28,1889.59
SUC01,P115,2025-06-08,PROV09,88,251.33
SUC01,P115,2025-06-10,PROV03,27,1896.84
SUC01,P115,2025-06-11,PROV03,75,259.9
SUC01,P115,2025-07-02,PROV14,23,1980.53
SUC01,P115,2025-07-06,PROV05,68,1927.16
SUC01,P115,2025-07-10,PROV15,50,261.23
SUC01,P115,2025-07-17,PROV15,94,251.57
SUC01,P115,2025-08-05,PROV15,68,1917.09
SUC01,P115,2025-08-15,PROV04,5,2048.86
SUC01,P115,2025-08-18,PROV13,17,1918.51
SUC01,P115,2025-09-15,PROV10,5,1945.1
SUC01,P115,2025-09-20,PROV14,56,1997.72
SUC01,P115,2025-10-11,PROV03,110,259.85
SUC01,P115,2025-10-11,PROV14,47,2088.7
SUC01,P115,2025-10-22,PROV02,20,2009.82
SUC01,P115,2025-11-20,PROV02,86,251.54
SUC01,P116,2025-01-17,PROV03,25,277.63
SUC01,P116,2025-01-31,PROV15,11,1895.76
SUC01,P116,2025-03-16,PROV06,49,273.59
SUC01,P116,2025-03-30,PROV04,27,2114.4
SUC01,P116,2025-05-15,PROV04,12,268.79
SUC01,P116,2025-05-29,PROV05,17,269.79
SUC01,P116,2025-06-10,PROV10,42,2040.01
SUC01,P116,2025-07-08,PROV10,54,275.33
SUC01,P116,2025-07-11,PROV10,11,277.09
SUC01,P116,2025-08-04,PROV14,42,2111.21
SUC01,P116,2025-09-03,PROV11,67,2141.62
SUC01,P116,2025-09-13,PROV01,35,2129.24
SUC01,P116,2025-09-16,PROV10,7,2058.33
SUC01,P116,2025-09-27,PROV09,31,2139.33
SUC01,P116,2025-11-22,PROV07,50,2167.48
SUC01,P116,2025-12-21,PROV10,24,2065.8
SUC01,P117,2025-01-03,PROV15,36,2047.28
SUC01,P117,2025-02-17,PROV15,37,2025.92
SUC01,P117,2025-02-22,PROV01,28,2043.49
SUC01,P117,2025-04-12,PROV01,22,2073.04
SUC01,P117,2025-04-14,PROV03,24,2121.73
SUC01,P117,2025-04-26,PROV13,49,2129.33
SUC01,P117,2025-05-25,PROV14,16,2221.67
SUC01,P117,2025-06-02,PROV08,55,2155.74
SUC01,P117,2025-06-08,PROV08,63,2227.21
SUC01,P117,2025-06-16,PROV15,10,2119.97
SUC01,P117,2025-06-21,PROV12,29,246.56
SUC01,P117,2025-07-05,PROV04,60,2157.89
SUC01,P117,2025-07-10,PROV11,60,2059.7
SUC01,P117,2025-07-12,PROV06,12,2139.95
SUC01,P117,2025-07-15,PROV02,48,2159.35
